;;;;;;;;;;;;;;;;;;;;;Утверждаю;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Проректор по учебной работе и образовательным иновациям;;;;;;;;;
;;;;;;;;;;; Расписание занятий 3 курс  5 семестр ФПМИ 2018 -2019 уч. г.;;;;;;;;;;;;;;Чуприс О.М.;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 курс;;1 поток                                                                                                                                             Информатика;;;;;;;;2 поток                                                                                                                                                         Прикладная математика                   ;;;;;;;;3 поток                                                                                    Компьютерная безопасность                                                                                Экономическая кибернетика                                                                                                Актуарная математика;;;;;;4 поток                                                              Прикладная информатика;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;МСС;;ИСУ;;ДМА;БМИ;КТС;;ВычМ;;КТС;ММУ;ТВиМС;ММАД;МОУ;ТП;ММАД;ТП;ММАД;МОУ;ТВиМС;;ТП;ИСУ;МСС;КТС;;;
;;1 группа;;2 группа;;3 группа;;4 группа;;5 группа;;6 группа;;7 группа;;8 группа;;9 группа;;10 группа;;11 группа;;12 группа;;13 группа;;;;
понедельник;11-15-12.35;Физическая культура;;;;;;;;;;;;;;;;;;Физическая культура;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.00-14.20;Архитектура компьютеров;;;;;;;;;;;;МО ;;МО ;;Методы оптимизации;;;;;;МДиСУБД;;;;;;
;;;;;;;;;;;;;;Костюкевич Д.А.;;Павленок Н.С.;;;;;;;;Кузьмина А.В.;Марушко В.А.;;;;;
;;Профессор Буза М.К.;;;;;;;;;;;;;;;;Профессор Альсевич В.В.;;;;;;;;;;;;
;;;;;;;521;;;;;;;517;;334;;;;;;607;;м 508;;;;;;
;14.30-15.50;Д/С;;УМФ;;МЧА;;Д/С;;Методы    оптимизации;;;;;;;;МО ;;КАФР;;МО ;;Модели данных и СУБД;;;;;;
;;Сакович В.Ю.;;Козловская И.С.;;Белько В.И.;Никифоров И.В.;Таранчук В.Б.;;;;;;;;;;Костюкевич Д.А.;;Сталевская С.Н.;;Альсевич В.В.;;;;;;;;
;;;;;;;;;;Доцент                            Крахотко В.В.;;;;;;;;;;;;;;Доцент Кузьмина А.В.;;;;;;
;;518;;234;;256;248-а;м 314;;;;;;;;605;;248;;600-а;;600-б;;;;513;;;;
;16.00-17.20;Д/С;;МЧА;;УМФ;;Д/С;;Д/С;;Д/С;МЧА;Д/С;Д/С;Д/С;Д/С;КМ;;КАФР;;МЧА;;WEB-прогр.;;МДиСУБД;;;;
;;Сакович В.Ю.;;Белько В.И.;Никифоров И.В.;Козловская И.С.;;Таранчук В.Б.;;Бобков В.В.;;Чеб Е.С.;Радкевич Е.В.;Клименок В.И.;Волошко В.А.;Дмитрук Н.М.;Курбацкий А.Н.;Агиевич С.В.;;Сталевская С.Н.;;Полевиков В.К.;Бондарь И.В.;Рафеенко Е.Д.;;Кузьмина А.В.;Марушко В.А.;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;м 506;;256;248-а;234;;518;;248;;255;255-а;338;334;240;253;249;;600-а;;600-в;345;м 507;;м 608;;;;
;17.30-18.50;Методы численного анализа;;;;;;;;Д/С;МЧА;Д/С;;;;Д/С;Д/С;;;;;;;WEB-программирование;;;;;;
;;;;;;;;;;Репников В.И.;Радкевич Е.В.;Чеб Е.С.;;;;Дмитрук Н.М.;Курбацкий А.Н.;;;;;;;;;;;;;
;;Доцент Белько В.И.;;;;;;;;;;;;;;;;;;;;;;Доцент Рафеенко Е.Д.;;;;;;
;;;;;;;;521;;600-в;334;255;;;;240;253;;;;;;;;;513;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
вторник;13.00-14.20;;;;;;;;;;;МО ;;;;;;;;;;;;Д/С;Д/С;Д/С c 10/2018;Д/С;;;
;;;;;;;;;;;;Павленок Н.С.;;;;;;;;;;;;Войтешенко;Рубашко Н.К.;Марков С.В.;Казаченок В.В.;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;248;;;;;;;;;;;;м 314;600-г;Долгобор.  23/1 к 401;м 505;;;
;14.30-15.50;МО ;;АК;;;;МЧА;;Уравнения математической физики;;;;;;;;Методы оптимизации;;;;;;Д/С;Д/С;Д/С c 10/2018;Д/С;;;
;;Иванин А.П.;;Гусейнова А.С.;;;;Воробьев А.В.;Мойса А.В.;;;;;;;;;;;;;;;Войтешенко;Рубашко Н.К.;Кравец О.А.;Казаченок В.В.;;;
;;;;;;;;;;Доцент                     Козловская И.С.;;;;;;;;Профессор Альсевич В.В.;;;;;;;;;;;;
;;234;;  с 11.2018;;;;255-а;255-б;;;;;;;605;;;;;;513;;240;м 506;Долгобор.  23/1 к 401;м 505;;;
;16.00-17.20;Архитектура компьютеров;;;;;;;;Методы численного анализа;;;;;;;;УМФ;;МО ;;УРЧП;;Д/С;Д/С;Д/С;Д/С;;;
;;;;;;;;;;;;;;;;;;Козловская И.С.;;Альсевич В.В.;;Дайняк В.В.;;Попов Д.К.;Коновалов О.Л.;Шукело В.О.;Баровик Д.В.;;;
;;Профессор Буза М.К.;;;;;;;;Доцент                          Репников В.И.;;;;;;;;;;;;;;;;;;;;
;;;;;;;521;;;;;;;;;607;;234;;248;;249;;240;600-г;517;600-б;;;
;17.30-18.50;Методы оптимизации ;;;;;;;;Д/С;;МЧА;;Д/С;Д/С;;;Д/С;Д/С;Уравнения в частных производных;;;;ПМиВС;;;;;;
;;;;;;;;;;Репников В.И.;;Воробьев А.В.;;Труш Н.Н.;Егоров А.Д.;;;Дернакова О.В.;Зубович К.А.;;;;;Давидовская М.Л.;;;;;;
;;Доцент Лавринович Л.И.;;;;;;;;;;;;;;;;;;Доцент Дайняк В.В.;;;;;;;;;;
;;;;;;;521;;;334;;600-в;;253;338;;;600-а;517;;;522;;м 507;;;;;;
;19.00-20.20;;;МО;;;;;;;Д/С;;;Д/С;Д/С;;;;Д/С;УРЧП;;Д/С;;;;;;;;
;;;;Лавринович Л.И.;;;;;;;Репников В.И.;;;Клименок В.И.;Дернакова О.В.;;;;Зубович К.А.;Дайняк В.В.;;Труш Н.Н.;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;234;;;;;;;600-в;;;м 507;600-а;;;;517;249;;257;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
среда;11.15-12.35;;;;;;;;;Физическая культура;;;;;;;;;;;;;;Физическая культура;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.00-14.20;;;;;;;УМФ;;Методы оптимизации;;;;;;;;Методы численного анализа;;;;;;Методы вычислений;;;;;;
;;;;;;;;Козловская И.С.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Доцент Крахотко В.В.;;;;;;;;Доцент Полевиков В.К..;;;;;;Доцент Фалейчик Б.В.;;;;;;
;;;;;;;;518;;;;;;;;605;;;;;;607;;;;513;;;;
;14.30-15.50;Уравнения математической физики;;;;;;;;Компьютерные сети;;;;;;;;УМФ;;МЧА;;СМРТ;;Распределенные и параллельные системы;;;;;;
;;;;;;;;;;;;;;;;;;Козловская И.С.;;Полевиков В.К.;Никифоров И.В.;Красногир Е.Г.;;;;;;;;
;;Доцент Козловская И.С.;;;;;;;;Доцент СоболеваТ.В.;;;;;;;;;;;;;;Доцент Рафеенко Е.Д.;;;;;;
;;;;;;;;605;;;;;;;;521;;605;;248;248-а;522;;;;513;;;;
;16.00-17.20;УМФ;;Д/С;;Д/С;Д/С;ТВиМС;;МО ;;ТВиМС;;МЧА;;УМФ;;МЧА;;Д/С;Д/С;Д/С;СМРТ;МВ;;WEB-прогр.;;;;
;;Козловская И.С.;;Абламейко С.В.;;Шафранский Я.М.;Николаев  Г.И.;Цеховая Т.В.;Хаткевич Л.А.;Иванин А.П.;;Меленец Ю.В.;Зуев Н.М.;Будник А.М.;Радкевич Е.В.;Василевский К.В.;;Полевиков В.К.;Никифоров И.В.;Малюгин В.И.;Дмитрук Н.М.;Сечко В.В.;Красногир Е.Г.;Бондарь И.В.;Мойса А.В.;Рафеенко Е.Д.;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;234;;518 c 12/09/2018;;240;600-б;600-в;345;249;;334;338;255-а;255;250;;248;248-а;600-а;517;519;600-г;257;253;м 314;;;;
;17.30-18.50;ТВиМС;;Д/С;;Д/С;Д/С;АК;;УМФ;;;;ТВиМС;;МЧА;;;;Д/С;;СМРТ;Д/С;;;МВ;;;;
;;Цеховая Т.В.;Хаткевич Л.А.;Абламейко С.В.;;Шафранский Я.М.;Николаев  Г.И.;Гусейнова А.С.;;Василевский К.В.;;;;Меленец Ю.В.;Зуев Н.М.;Будник А.М.;Радкевич Е.В.;;;Малюгин В.И.;;Красногир Е.Г.;Сечко В.В.;;;Мойса А.В.;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;600-в;345;м 508 c 12/09/2018;;240;600-б;  с 11.2018;;250;;;;334;338;255-а;255;;;600-а;;600-г;519;;;257;;;;
;19.00-20.20;АК;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Гусейнова А.С.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;  с 11.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
четверг;11.15-12.35;Физическая культура;;;;;;;;;;;;;;;;;;Физическая культура;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.00-14.20;Безопасность жизнедеятельности человека;;;;;;;;;;;;;;;;Д/С ;;Безопасность жизнедеятельности человека;;;;;;ПМиВС;;;;
;;;;;;;;;;;;;;;;;;Матвеев Г.В.;;;;;;;;Зенько Т.А.;;;;
;;Доцент Урбанович А.И.;;;;;;;;;;;;;;;;;;Доцент Урбанович А.И.;;;;;;;;;;
;;;;;;;;605;;;;;;;;;;248-а;;;;605;;;;м 507;;;;
;14.30-15.50;;;;;;;;;Безопасность жизнедеятельности человека;;;;;;;;;;;;;;Безопасность жизнедеятельности человека;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Доцент Макаренко Л.Ф.;;;;;;;;;;;;;;Доцент Урбанович А.И.;;;;;;
;;;;;;;;;;;;;;;;;521;;;;;;;;;522;;;;
;16.00-17.20;;;;;;;;;Безопасность жизнедеятельности человека;;;;;;;;;;;;;;Безопасность жизнедеятельности человека;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Доцент Урбанович А.И.;;;;;;;;;;;;;;Доцент Макаренко Л.Ф.;;;;;;
;;;;;;;;;;;;;;;;;607;;;;;;;;;513;;;;
;17.30-18.50;;;;;;;;;;;;Д/С;;;Ф к.МОУ;;;;;Ф к.МОУ;;;;;;;;;
;;;;;;;;;;;;;Урбанович А.И.;;;Дмитрук Н.М.;;;;;Дмитрук Н.М.;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;513;;;517;с 4.10.2018;;;с 4.10.2018;517;;;;;;;;;
;19.00-20.20;;;;;;;;;;;;Д/С;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Урбанович А.И.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;513;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
пятница;11.15-12.35;;;;;;;;;Физическая           культура;;;;;;;;;;;;;;Физическая культура;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.00-14.20;;;;;ТВиМС;;;;Теория вероятностейи математическая статистика;;;;;;;;КМ;;Д/С;;;;РиПС;;;;;;
;;;;;;Цеховая Т.В.;Хаткевич Л.А.;;;;;;;;;;;Палуха В.Ю.;;Лобач В.И.;;;;Кондратьева О.М.;;;;;;
;;;;;;;;;;Доцент Зуев Н.М.;;;;;;;;;;;;;;м 604;;Рафеенко Е.Д.;;;;
;;;;;;517;519;;;;;;;;;521;;249;;257;;;;;;;м 507;;;
;14.30-15.50;Теория вероятностейи математическая статистика;;;;;;;;КС;;КС;;УМФ;;ТВиМС;;Теория вероятностейи математическая статистика;;;;;;Распределенные и параллельные системы;;;;;;
;;;;;;;;;;Кулинкович В.А.;Рафеенко Е.Д.;Соболева Т.В.;Горячкин В.В.;Василевский К.В.;;Хаткевич Л.А.;Зуев Н.М.;;;;;;;;;;;;;
;;Доцент Цеховая Т.В.;;;;;;;;;;;;;;;;Профессор Жук Е.Е.;;;;;;Старший преподаватель Кондратьева О.М.;;;;;;
;;;;;;;;605;;м 506;;м 508;;249;;248-а;248;;;;;607;;;;522;;;;
;16.00-17.20;МЧА;;ТВиМС;;МО;;МО ;;ТВиМС;;УМФ;;КС;;КС;;Д/С;Д/С;ТВиМС;;Д/С;;;;;;;;
;;Воробьев А.В.;Мойса А.В.;Цеховая Т.В.;Хаткевич Л.А.;Лавринович Л.И.;;Иванин А.П.;;Меленец Ю.В.;Зуев Н.М.;Василевский К.В.;;Соболева Т.В.;Горячкин В.В.;Кулинкович В.А.;Рафеенко Е.Д.;Орлова Е.Н.;Курбацкий А.Н.;Лобач В.И.;Жук Е.Е.;Сечко В.В.;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;255-а;255-б;600-б;600-в;250;;517;;248-а;248;249;;;м 508;м 506;;234;253;257;600-г;334;;;;;;;;
;17.30-18.50;Методы оптимизации ;;;;;;;;МЧА;;Д/С;Д/С;;;Д/С;;ТВиМС;;;Д/С;ТВиМС;;;;;;;;
;;;;;;;;;;Воробьев А.В.;;Василевский К.В.;Макаренкео Л.Ф. Левчук Е.А.;;;Дмитрук Н.М.;;Лобач В.И.;Жук Е.Е.;;Марков С.В.;Меленец Ю.В.;Хаткевич Л.А.;;;;;;;
;;Доцент Лавринович Л.И.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;521;;;338;;м 604;600-б;;;517;;257;253;c 10/2018;Долгобор.  23/1 к 401;248-а;600-в;;;;;;;
;19.00-20.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
суббота;8.15-9.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9.45-11.05;;;;;АК;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Гусейнова А.С.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;  с 11.2018;;;;;;;;;;;;;;;;;;;;;;;;
;11.15-12.35;Безопасность жизнедеятельности человека;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Доцент Макаренко Л.Ф.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;521;;;;;;;;;;;;;;;;;;;;;;
;13.00-14.20;;;;;;;;;;;;;;;;Д/С;;;Безопасность жизнедеятельности человека;;;;Программирование мобильных и встраиваемых систем;;;;;;
;;;;;;;;;;;;;;;;;Гошко В.М.;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Доцент Макаренко Л.Ф.;;;;Ст. преподаватель Давидовская М.Л.;;;;;;
;;;;;;;;;;;;;;;;;519;;;;;521;;;;522;;;;
;14.30-15.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Декан ФПМИ;;;;;;;;;;;;;;;;;;;Мандрик П.А.;;;;;;;;;
